code,lockup_days,listing,entry_date,entry_open,exit7_date,exit7_close,tpx_entry_open,tpx_exit7_close,net_1,net_3,net_5,net_7
456A,180|360,2025-11-27,2026-02-25,3400.0,2026-03-05,3595.0,3829.76,3702.67,0.494,7.694,1.7286,-9.2038
446A,180|360,2025-11-21,2026-02-19,1114.0,2026-03-02,1031.0,3822.19,3898.42,0.9016,11.1777,4.4234,9.295
442A,90|180,2025-11-05,2026-02-03,2017.0,2026-02-12,1677.0,3577.54,3882.16,2.602,7.1981,15.8718,25.2215
441A,180,2025-11-04,2026-02-02,716.0,2026-02-10,721.0,3597.27,3855.28,-1.0116,2.4486,6.3093,6.3241
438A,90|120|180|360,2025-10-24,2026-01-22,1428.0,2026-01-30,1495.0,3625.13,3566.32,-4.0328,-1.1734,-3.8132,-6.4642
436A,180,2025-10-23,2026-01-21,1313.0,2026-01-29,1219.0,3577.95,3545.3,0.8639,3.1242,6.0747,6.0966
431A,90|180,2025-10-17,2026-01-15,2330.0,2026-01-23,2367.0,3636.25,3629.7,-1.5246,-0.7547,-0.3143,-1.9181
429A,180,2025-10-16,2026-01-14,3120.0,2026-01-22,3085.0,3612.71,3616.38,3.6052,5.1289,5.6235,1.0734
423A,180,2025-10-15,2026-01-13,375.0,2026-01-21,365.0,3566.42,3589.7,2.3604,4.5924,2.9063,3.1694
428A,180|360,2025-10-08,2026-01-06,834.0,2026-01-15,845.0,3505.53,3668.98,0.0694,1.7635,1.9137,3.1937
421A,180,2025-10-06,2026-01-05,3050.0,2026-01-14,2740.0,3448.77,3644.16,8.0935,5.8282,8.1708,15.6794
414A,180,2025-10-03,2026-01-05,1215.0,2026-01-14,1180.0,3448.77,3644.16,3.3174,2.7342,-2.6176,8.3962
407A,180,2025-09-26,2025-12-25,1150.0,2026-01-07,1186.0,3420.23,3511.34,0.7407,-0.4009,1.1772,-0.6166
410A,180,2025-09-25,2025-12-24,1320.0,2026-01-06,1330.0,3422.35,3538.44,-2.8604,-3.6899,0.5196,2.4845
409A,180,2025-09-25,2025-12-24,1301.0,2026-01-06,1346.0,3422.35,3538.44,-0.1265,0.0245,-0.4641,-0.2168
402A,90|180,2025-08-13,2025-11-11,604.0,2025-11-19,508.0,3336.44,3245.58,0.0669,3.0283,7.4672,13.0208
387A,90|180,2025-07-25,2025-10-23,2064.0,2025-10-31,1988.0,3247.9,3331.83,2.4535,4.9386,4.8539,6.1163
386A,180,2025-07-18,2025-10-16,1960.0,2025-10-24,2042.0,3205.75,3269.45,1.512,2.9167,-0.349,-2.3466
378A,180,2025-07-04,2025-10-02,2255.0,2025-10-10,2233.0,3094.38,3197.59,2.906,4.948,4.2827,4.161
373A,180,2025-06-30,2025-09-29,3460.0,2025-10-07,3290.0,3158.99,3227.91,-3.7637,-0.4498,4.1083,6.945
372A,180,2025-06-30,2025-09-29,6360.0,2025-10-07,6410.0,3158.99,3227.91,-3.2193,0.1746,3.1513,1.2455
369A,180,2025-06-26,2025-09-24,3655.0,2025-10-02,3150.0,3165.1,3087.4,1.9342,5.1937,4.7267,11.2118
368A,180,2025-06-25,2025-09-24,1514.0,2025-10-02,1439.0,3165.1,3087.4,-3.4816,-0.25,1.2269,2.3489
367A,180,2025-06-24,2025-09-22,2012.0,2025-10-01,1916.0,3154.77,3094.74,0.0169,4.1493,0.3572,2.7185
366A,90|180,2025-06-23,2025-09-22,3345.0,2025-10-01,3030.0,3154.77,3094.74,-0.3322,4.2573,2.1041,7.3642
365A,180,2025-06-20,2025-09-18,638.0,2025-09-29,654.0,3154.58,3131.57,-2.0516,-6.304,-1.6824,-3.3873
350A,180,2025-04-22,2025-07-22,10450.0,2025-07-30,10660.0,2839.07,2920.18,-2.4524,1.2827,-8.1177,0.6974
343A,180,2025-04-07,2025-07-07,1020.0,2025-07-15,1016.0,2827.16,2825.31,-1.1863,-0.8009,-2.0534,0.1767
340A,90|180,2025-03-31,2025-06-30,2249.0,2025-07-08,2516.0,2860.83,2816.54,-7.5436,-9.8587,-11.5261,-13.5701
